ORDER_ID,SUBSCRIBER_ID,STATUS_DATE,STATUS_TIME,STATUS
100093,200146,20230222,185737,COMPLETED
100093,200146,20230222,155709,RETURNED
100093,200146,20230222,94445,CREATED
100232,200177,20230222,173027,COMPLETED
100232,200177,20230222,154525,RETURNED
100232,200177,20230222,94505,CREATED
100112,200345,20230223,90407,ASSIGNED
100112,200345,20230223,74715,RETURNED
100112,200345,20230222,93819,CREATED
100088,200449,20230223,21127,COMPLETED
100088,200449,20230222,234157,RETURNED
100088,200449,20230222,95457,CREATED
100526,200426,20230222,94041,CREATED
100526,200426,20230223,14245,CANCELLED
100526,200426,20230223,12440,RETURNED
100521,200465,20230222,94644,ASSIGNED
100521,200465,20230222,94436,CREATED
100054,200316,20230221,164001,POOL
100054,200316,20230221,164001,CREATED
100175,200128,20230222,205735,COMPLETED
100175,200128,20230222,154525,RETURNED
100175,200128,20230222,94842,CREATED
100032,200276,20230222,111203,COMPLETED
100032,200276,20230222,105800,CREATED
100488,200435,20230222,120036,COMPLETED
100488,200435,20230222,110322,RETURNED
100488,200435,20230222,105359,CREATED
100132,200354,20230223,94343,COMPLETED
100132,200354,20230223,74734,RETURNED
100132,200354,20230222,94830,CREATED
100254,200464,20230222,215521,COMPLETED
100254,200464,20230222,161234,RETURNED
100254,200464,20230222,94910,CREATED
100454,200089,20230223,90709,ASSIGNED
100454,200089,20230223,23317,RETURNED
100454,200089,20230222,94313,CREATED
100157,200380,20230222,224120,CANCELLED
100157,200380,20230222,222657,RETURNED
100157,200380,20230222,105246,CREATED
100370,200493,20230222,95257,POOL
100370,200493,20230222,95257,CREATED
100558,200060,20230221,195453,COMPLETED
100558,200060,20230221,164025,CREATED
100184,200255,20230222,171715,COMPLETED
100184,200255,20230222,154648,RETURNED
100184,200255,20230222,94547,CREATED
100291,200151,20230223,22432,COMPLETED
100291,200151,20230222,232504,RETURNED
100291,200151,20230222,95449,CREATED
100045,200396,20230222,115505,COMPLETED
100045,200396,20230222,93900,CREATED
100531,200437,20230222,105521,POOL
100531,200437,20230222,105521,CREATED
100576,200392,20230222,221451,COMPLETED
100576,200392,20230222,105743,CREATED
100433,200524,20230222,133558,COMPLETED
100433,200524,20230222,94306,CREATED
100294,200528,20230223,82955,ASSIGNED
100294,200528,20230222,95239,CREATED
100058,200405,20230223,20437,COMPLETED
100058,200405,20230222,235512,RETURNED
100058,200405,20230222,93828,CREATED
100186,200101,20230223,73818,RETURNED
100186,200101,20230223,73818,POOL
100186,200101,20230221,161208,CREATED
100035,200538,20230223,90446,ASSIGNED
100035,200538,20230223,81837,RETURNED
100035,200538,20230222,94631,CREATED
100421,200252,20230222,194351,CANCELLED
100421,200252,20230222,193920,RETURNED
100421,200252,20230222,94110,CREATED
100550,200287,20230222,101213,ASSIGNED
100550,200287,20230222,94848,CREATED
100128,200227,20230223,83225,ASSIGNED
100128,200227,20230223,23443,RETURNED
100128,200227,20230222,94334,CREATED
100137,200517,20230221,163911,POOL
100137,200517,20230221,163911,CREATED
100166,200455,20230222,94414,POOL
100166,200455,20230222,94414,CREATED
100190,200285,20230223,82240,ASSIGNED
100190,200285,20230223,74440,RETURNED
100190,200285,20230222,95438,CREATED
100083,200401,20230222,135810,POOL
100083,200401,20230222,135810,CREATED
100491,200238,20230221,163823,POOL
100491,200238,20230221,163823,CREATED
100520,200411,20230223,90928,ASSIGNED
100520,200411,20230223,23005,RETURNED
100520,200411,20230222,93628,CREATED
100090,200243,20230222,154958,COMPLETED
100090,200243,20230222,95419,CREATED
100147,200508,20230221,163946,POOL
100147,200508,20230221,163946,CREATED
100275,200220,20230223,80443,RETURNED
100275,200220,20230223,80443,POOL
100275,200220,20230221,164007,CREATED
100481,200195,20230223,24623,COMPLETED
100481,200195,20230223,23204,RETURNED
100481,200195,20230222,94758,CREATED
100434,200529,20230222,213658,COMPLETED
100434,200529,20230222,94237,CREATED
100534,200246,20230222,175306,COMPLETED
100534,200246,20230222,154055,RETURNED
100534,200246,20230222,95344,CREATED
100110,200424,20230223,90821,ASSIGNED
100110,200424,20230223,23201,RETURNED
100110,200424,20230222,93935,CREATED
100311,200042,20230222,93705,POOL
100311,200042,20230222,93705,CREATED
100346,200116,20230222,172814,COMPLETED
100346,200116,20230222,155221,RETURNED
